Epoch,Accuracy,Precision,Recall,F1,AUROC
1,0.9218390804597701,0.9246731898446233,0.9236912057269141,0.9241074985820525,0.9855492516413976
2,0.9172413793103448,0.9214788453271205,0.9185064198685616,0.9194621753918263,0.988496128034455
3,0.9241379310344827,0.9240332848681995,0.9268714428478741,0.9250276190272521,0.9880130173216113
4,0.9287356321839081,0.9296356174692917,0.9311594501856406,0.9302509214923008,0.9889857205706498
5,0.9287356321839081,0.9297062764706849,0.9310497288777627,0.930231375482907,0.9882986843064794
