Epoch,Accuracy,Precision,Recall,F1,AUROC
1,0.9080459770114943,0.9125183011247142,0.9091652922418962,0.9102665328724859,0.9866929662211504
2,0.9126436781609195,0.9191045127025473,0.9141689988738936,0.9156000481107315,0.9861310369874128
3,0.9218390804597701,0.9262420542770793,0.9229513882341323,0.9240194685062683,0.9871246046795076
4,0.9264367816091954,0.9288229753316652,0.9285851910510334,0.9281197803796752,0.9870212595546984
5,0.9241379310344827,0.9268723216712518,0.925878010950461,0.9257501977222888,0.9868688853274431
