Epoch,Accuracy,Precision,Recall,F1,AUROC
1,0.7103448275862069,0.6820843165745192,0.7321101135194465,0.6736354308780875,0.8940409439971931
2,0.8896551724137931,0.8990938402867839,0.8910161325223646,0.8939806219747973,0.9828111700687987
3,0.9011494252873563,0.9105637219922935,0.9018785420022855,0.9042666679253243,0.9845665158220769
4,0.903448275862069,0.9112457204889012,0.9050587791232456,0.907039528427639,0.9858707420986518
5,0.9126436781609195,0.9189240051577767,0.9135149407638637,0.9152469937663656,0.9871881402936576
