Epoch,Symptom,Precision,Recall,F1,AUROC
1,edema,0.8969072164948454,0.8877551020408163,0.8923076923076924,0.9674498879670562
1,pain,0.9042553191489362,0.9139784946236559,0.9090909090909091,0.9811041941771993
1,cough,0.9710144927536232,0.9436619718309859,0.9571428571428572,0.9939250889955116
1,fever,0.9186046511627907,0.9404761904761905,0.9294117647058824,0.9910799077465744
1,bleeding,0.9325842696629213,0.9325842696629213,0.9325842696629213,0.9941871793206468
2,edema,0.9148936170212766,0.8775510204081632,0.8958333333333334,0.9700236177557076
2,pain,0.8529411764705882,0.9354838709677419,0.8923076923076924,0.9870150286109539
2,cough,0.9565217391304348,0.9295774647887324,0.9428571428571428,0.9983361708713822
2,fever,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.9915547415547417
2,bleeding,0.9318181818181818,0.9213483146067416,0.9265536723163842,0.9955510813794894
3,edema,0.9166666666666666,0.8979591836734694,0.9072164948453608,0.969902501059771
3,pain,0.9139784946236559,0.9139784946236559,0.9139784946236559,0.9880840093064203
3,cough,0.8961038961038961,0.971830985915493,0.9324324324324325,0.9962854047361089
3,fever,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.9904694071360738
3,bleeding,0.9529411764705882,0.9101123595505618,0.9310344827586207,0.9953237643696824
4,edema,0.9175257731958762,0.9081632653061225,0.9128205128205128,0.9708411554532792
4,pain,0.9042553191489362,0.9139784946236559,0.9090909090909091,0.9902534113060428
4,cough,0.9324324324324325,0.971830985915493,0.9517241379310345,0.9963240984367745
4,fever,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.9918939085605752
4,bleeding,0.9534883720930233,0.9213483146067416,0.9371428571428572,0.9956160290965772
5,edema,0.9090909090909091,0.9183673469387755,0.9137055837563451,0.9688427299703264
5,pain,0.9130434782608695,0.9032258064516129,0.9081081081081082,0.9903162925234232
5,cough,0.9324324324324325,0.971830985915493,0.9517241379310345,0.9961306299334468
5,fever,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.9917243250576584
5,bleeding,0.9534883720930233,0.9213483146067416,0.9371428571428572,0.9944794440475416
