Epoch,Symptom,Precision,Recall,F1,AUROC
1,edema,0.9354838709677419,0.8877551020408163,0.9109947643979057,0.9734754435898989
1,pain,0.7777777777777778,0.978494623655914,0.8666666666666667,0.9858831666981074
1,cough,0.9696969696969697,0.9014084507042254,0.9343065693430657,0.9983748645720477
1,fever,0.9518072289156626,0.9404761904761905,0.9461077844311377,0.9919617419617419
1,bleeding,1.0,0.8539325842696629,0.9212121212121213,0.9747028641943235
2,edema,0.9565217391304348,0.8979591836734694,0.9263157894736842,0.9677526797068975
2,pain,0.8958333333333334,0.9247311827956989,0.91005291005291,0.9904106143494938
2,cough,0.9324324324324325,0.971830985915493,0.9517241379310345,0.9962080173347779
2,fever,0.9518072289156626,0.9404761904761905,0.9461077844311377,0.9921652421652423
2,bleeding,0.8777777777777778,0.8876404494382022,0.88268156424581,0.9912320581931545
3,edema,0.9775280898876404,0.8877551020408163,0.93048128342246,0.9796523950826622
3,pain,0.8888888888888888,0.946236559139785,0.9166666666666666,0.9925171351317361
3,cough,0.9324324324324325,0.971830985915493,0.9517241379310345,0.9975622968580715
3,fever,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9924704924704925
3,bleeding,0.9325842696629213,0.9325842696629213,0.9325842696629213,0.9948691303500682
4,edema,0.9468085106382979,0.9081632653061225,0.9270833333333334,0.9787742990371222
4,pain,0.90625,0.9354838709677419,0.9206349206349206,0.9912280701754386
4,cough,0.9452054794520548,0.971830985915493,0.9583333333333334,0.9974462157560748
4,fever,0.9518072289156626,0.9404761904761905,0.9461077844311377,0.9931488264821599
4,bleeding,0.9325842696629213,0.9325842696629213,0.9325842696629213,0.9901279470026628
5,edema,0.946236559139785,0.8979591836734694,0.9214659685863874,0.9780173196875189
5,pain,0.9157894736842105,0.9354838709677419,0.925531914893617,0.9909765453059172
5,cough,0.92,0.971830985915493,0.9452054794520548,0.9973688283547439
5,fever,0.9518072289156626,0.9404761904761905,0.9461077844311377,0.9927418260751595
5,bleeding,0.9325842696629213,0.9325842696629213,0.9325842696629213,0.9891212573878029
