Epoch,Accuracy,Precision,Recall,F1,AUROC
1,0.9149425287356322,0.9179589548422766,0.9160267183105191,0.9164614682121348,0.9875007342520042
2,0.9333333333333333,0.936715663641462,0.936456053152134,0.9355384279934364,0.9865585328458618
3,0.9333333333333333,0.9340601175027239,0.9359931278587836,0.9346620356106051,0.9888553262072639
4,0.9310344827586207,0.9305497146325374,0.9338425902243751,0.9318365548644294,0.9882246666893474
5,0.9356321839080459,0.936458198123818,0.9380339441853142,0.9371888309597326,0.987816740328886
