Epoch,Symptom,Precision,Recall,F1,AUROC
1,edema,0.47619047619047616,0.10204081632653061,0.16806722689075632,0.6885181372252166
1,pain,0.65,0.8387096774193549,0.7323943661971831,0.9168081494057725
1,cough,0.6842105263157895,0.9154929577464789,0.7831325301204819,0.9313186813186813
1,fever,0.6814159292035398,0.9166666666666666,0.7817258883248731,0.9580450413783748
1,bleeding,0.9186046511627907,0.8876404494382022,0.9028571428571428,0.9755147106579203
2,edema,0.8252427184466019,0.8673469387755102,0.845771144278607,0.9579725065100224
2,pain,0.898876404494382,0.8602150537634409,0.8791208791208791,0.9782430987863925
2,cough,0.9846153846153847,0.9014084507042254,0.9411764705882353,0.9955889181241293
2,fever,0.95,0.9047619047619048,0.926829268292683,0.992707909374576
2,bleeding,0.8367346938775511,0.9213483146067416,0.8770053475935828,0.9895434175488731
3,edema,0.9545454545454546,0.8571428571428571,0.9032258064516129,0.9659662084418337
3,pain,0.8269230769230769,0.9247311827956989,0.8730964467005076,0.9799094510469724
3,cough,0.9846153846153847,0.9014084507042254,0.9411764705882353,0.9953954496208017
3,fever,0.95,0.9047619047619048,0.926829268292683,0.9902319902319903
3,bleeding,0.8367346938775511,0.9213483146067416,0.8770053475935828,0.9913294797687862
4,edema,0.9239130434782609,0.8673469387755102,0.8947368421052632,0.9689335674922788
4,pain,0.8113207547169812,0.9247311827956989,0.864321608040201,0.9812613972206502
4,cough,0.9850746268656716,0.9295774647887324,0.9565217391304348,0.9965949543414332
4,fever,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9931827431827431
4,bleeding,0.9090909090909091,0.898876404494382,0.903954802259887,0.9893810482561538
5,edema,0.9239130434782609,0.8673469387755102,0.8947368421052632,0.9703566886695332
5,pain,0.8446601941747572,0.9354838709677419,0.8877551020408163,0.9833993586115827
5,cough,0.9848484848484849,0.9154929577464789,0.948905109489051,0.9967884228447609
5,fever,0.9390243902439024,0.9166666666666666,0.927710843373494,0.9933523266856601
5,bleeding,0.9021739130434783,0.9325842696629213,0.9171270718232044,0.9920439046567513
