Epoch,Accuracy,Precision,Recall,F1,AUROC
1,0.9126436781609195,0.9269531694716303,0.9124133902293619,0.9158575812101795,0.9848796162032241
2,0.9218390804597701,0.9228745023179282,0.9245275984598109,0.9233764372269153,0.9875537223499131
3,0.9356321839080459,0.9367629266505672,0.9381575738279937,0.936767462012807,0.991414289978606
4,0.9356321839080459,0.9365310977337872,0.9377077164656938,0.9369487282791293,0.9901450716906917
5,0.9333333333333333,0.9332835062805159,0.9356669001391633,0.9341790834052237,0.9896451553622285
