Epoch,Symptom,Precision,Recall,F1,AUROC
1,edema,0.925531914893617,0.8877551020408163,0.90625,0.9702658511475807
1,pain,0.9130434782608695,0.9032258064516129,0.9081081081081082,0.9828019870464693
1,cough,0.9558823529411765,0.9154929577464789,0.935251798561151,0.9964014858381055
1,fever,0.9518072289156626,0.9404761904761905,0.9461077844311377,0.9947768281101614
1,bleeding,0.8163265306122449,0.898876404494382,0.8556149732620321,0.9892186789634345
2,edema,0.88,0.8979591836734694,0.8888888888888888,0.9663901168776116
2,pain,0.8446601941747572,0.9354838709677419,0.8877551020408163,0.9844054580896687
2,cough,0.9571428571428572,0.9436619718309859,0.950354609929078,0.9969818913480886
2,fever,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.9921652421652422
2,bleeding,0.9625,0.8651685393258427,0.9112426035502958,0.9907124764564526
3,edema,0.9175257731958762,0.9081632653061225,0.9128205128205128,0.9682068673166595
3,pain,0.8529411764705882,0.9354838709677419,0.8923076923076924,0.9914481544362699
3,cough,0.9571428571428572,0.9436619718309859,0.950354609929078,0.9940024763968426
3,fever,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.9951499118165785
3,bleeding,0.9523809523809523,0.898876404494382,0.9248554913294798,0.9868156134311878
4,edema,0.9175257731958762,0.9081632653061225,0.9128205128205128,0.971688972324835
4,pain,0.8787878787878788,0.9354838709677419,0.90625,0.9906621392190154
4,cough,0.9324324324324325,0.971830985915493,0.9517241379310345,0.9941185574988392
4,fever,0.9397590361445783,0.9285714285714286,0.9341317365269461,0.9924704924704926
4,bleeding,0.975609756097561,0.898876404494382,0.935672514619883,0.9861661362603105
5,edema,0.946236559139785,0.8979591836734694,0.9214659685863874,0.9703566886695331
5,pain,0.8627450980392157,0.946236559139785,0.9025641025641026,0.9905678173929449
5,cough,0.9444444444444444,0.9577464788732394,0.951048951048951,0.9940024763968425
5,fever,0.9397590361445783,0.9285714285714286,0.9341317365269461,0.9925044091710759
5,bleeding,0.9411764705882353,0.898876404494382,0.9195402298850575,0.9869130350068195
